feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Grades 9-12 2021-2022,0.07345794914839716,5,0.007679096082607256,1.0,0.014778325123152691,-0.0019704433497536923,0.0,0.013653038868803332,0.03164556962025317,0.00892857142857143,0.019230769230769232,0.0
% Students Tested Reading - Grade 7 2021-2022,0.07290003031890409,6,0.008912107962119114,1.0,0.0009852216748768461,-0.007881773399014769,0.0,0.015845270732498928,0.0021097046413502112,0.03571428571428572,0.019230769230769232,0.0
% K 2020-2021,0.07241995208422547,5,0.01051733345065194,1.0,0.009852216748768461,-0.002955665024630538,0.0,0.018699279297096985,0.021097046413502112,0.013392857142857144,0.019230769230769232,0.0
% White Students 2021-2022,0.06870912206736025,4,0.013865220101634976,1.0,0.015763546798029538,0.0019704433497536923,0.0,0.024651650003559074,0.03375527426160338,-0.00892857142857143,0.019230769230769232,0.0
% Students Tested Reading - Grade 7 2018-2019,0.06721139955836777,5,0.011285318394549843,1.0,0.008866995073891614,-0.0019704433497536923,0.0,0.02006471712687522,0.0189873417721519,0.00892857142857143,0.019230769230769232,0.0
Avg Family Size 10,0.06281819511744978,4,0.008401189203220152,1.0,0.002955665024630538,-0.0049261083743842304,0.0,0.014936883391201347,0.006329113924050634,0.022321428571428572,0.019230769230769232,0.0
% Asian Pop 10,0.06233668175234229,5,0.008130363972936159,1.0,0.002955665024630538,-0.0049261083743842304,0.0,0.014455370026093855,0.006329113924050634,0.022321428571428572,0.019230769230769232,0.0
% Students Tested Reading - Grade 4 2021-2022,0.06050559307980531,5,0.00814934063817865,1.0,0.0,-0.005911330049261076,0.0,0.014489109563321789,0.0,0.026785714285714288,0.019230769230769232,0.0
% County Infected 10/30/20,0.0604345710747881,4,0.007335174105929897,0.0,0.013793103448275845,-0.0039408866995073845,0.0,0.013041563238742277,0.029535864978902957,0.01785714285714286,0.0,0.0
% On Campus 09/28/20,0.060237016967056065,5,0.01412195772810204,1.0,0.015763546798029538,0.0039408866995073845,0.0,0.02510811633182632,0.03375527426160338,-0.01785714285714286,0.019230769230769232,0.0
# of Households 10,0.05808349676908005,6,0.006013636911051861,1.0,0.006896551724137922,-0.002955665024630538,0.0,0.010691937906002194,0.014767932489451479,0.013392857142857144,0.019230769230769232,0.0
Total Students 2020-2021,0.05705051247724644,5,0.014925397341472151,1.0,-0.0009852216748768461,-0.002955665024630538,0.0,0.026536590744970275,-0.0021097046413502112,0.013392857142857144,0.019230769230769232,0.0
% Students Tested Reading - Grade 7 2020-2021,0.05623756526987258,6,0.010548157885982677,1.0,0.014778325123152691,0.002955665024630538,0.0,0.018754083561707328,0.03164556962025317,-0.013392857142857144,0.019230769230769232,0.0
% Students Tested Reading - Grade 5 2021-2022,0.055605360081479635,4,0.009779387400087138,1.0,0.008866995073891614,0.0,0.0,0.017387249078558507,0.0189873417721519,-0.0,0.019230769230769232,0.0
% Students Tested Reading - Grade 5 2018-2019,0.05464488991762654,4,0.007914850339093848,1.0,0.007881773399014769,-0.0009852216748768461,0.0,0.014072197841769904,0.01687763713080169,0.004464285714285715,0.019230769230769232,0.0
